layer,residual_cosine_mean,residual_mse_mean,k_mse_mean,v_mse_mean
0,0.6773027777671814,29.9725541472435,0.0,0.0
8,0.6810374930500984,35.477442383766174,0.06327450787648559,1.630445547401905
16,0.4623104427009821,41.96511387825012,0.24381671007722616,1.9982521533966064
24,0.5926363989710808,39.81321668624878,0.23651104606688023,2.027317501604557
32,0.40113735385239124,80.93374729156494,0.25673421937972307,1.974540002644062
