prompt_idx,prompt_id,seq_len,low_latency_ms,full_latency_ms,low_peak_mem_mb,full_peak_mem_mb,next_token_kl_full_to_low,next_token_top1_agreement
0,einstein_riddle,227,777.2691800055327,478.3642609982053,13538.93896484375,13796.4765625,10.334103256464005,0.0
1,compositional_drift,105,321.6783219977515,310.16125799214933,13855.47119140625,13845.9326171875,11.170237839221954,0.0625
2,negative_constraint_coding,85,302.44686699006706,282.24098900682293,13556.94580078125,13591.0234375,12.240259319543839,0.0625
3,long_dependency_chain,110,336.24768900335766,318.1314819958061,13549.65966796875,13625.5556640625,12.428859531879425,0.0
4,nested_conditionals,156,348.24490899336524,320.63462100632023,13676.94873046875,13790.46923828125,10.514011263847351,0.1875
