layer,residual_cosine_mean,residual_mse_mean,k_mse_mean,v_mse_mean
0,0.6823818944394588,30.728046184778215,0.0,0.0
4,0.5162575762718916,14.936580169200898,0.07006005784496665,1.0124363481998444
8,0.6900176934897899,34.26890606880188,0.060963214561343196,1.6316517755389213
12,0.4832038838416338,99.82035536766053,0.1328221599571407,2.1184377774596213
16,0.45700652413070203,44.29405467510223,0.2450867233797908,2.001449854671955
20,0.3328599682077765,82.35222234725953,0.2711386851966381,1.9623124226927757
24,0.5719735663384199,42.17120895385742,0.23834701981395484,2.062097452580929
28,0.3436062391847372,52.469347190856936,0.26252349838614464,1.980041319131851
32,0.3811032896861434,83.2076063156128,0.2579132804647088,1.9838361486792564
