prompt_idx,prompt_id,seq_len,low_latency_ms,full_latency_ms,low_peak_mem_mb,full_peak_mem_mb,next_token_kl_full_to_low,next_token_top1_agreement
0,arith_0155,45,265.9683980018599,239.69972500344738,28587.1806640625,28638.09130859375,12.175658911466599,0.0
1,logic_0146,69,274.4730100093875,255.80986400018446,28730.12255859375,28782.9609375,11.850413233041763,0.125
2,sym_0313,44,250.76876200910192,236.08997100382112,28745.28271484375,28750.27294921875,14.992322862148285,0.0
3,logic_0031,69,292.10519400658086,255.25326099887025,28727.599609375,28780.79443359375,11.807102397084236,0.0625
4,seq_0312,52,262.80846999725327,239.58228901028633,28756.03564453125,28771.376953125,10.453742619603872,0.0625
5,arith_0285,46,254.5267329987837,238.47277098684572,28706.3916015625,28729.4443359375,12.459813103079796,0.0
6,seq_0077,51,272.895845992025,241.35287800163496,28701.033203125,28732.22216796875,11.077048271894455,0.0
7,con_0294,51,260.8055080054328,235.5465870059561,28710.1962890625,28738.50439453125,9.440105497837067,0.0
8,sym_0038,44,247.02846100262832,224.25538599782158,28699.01953125,28719.408203125,17.137063801288605,0.0
9,sym_0123,44,257.68351899750996,233.63272300048266,28683.4541015625,28707.8759765625,16.221567451953888,0.0
10,con_0029,52,254.20574100280646,238.60176700691227,28696.2275390625,28729.7001953125,11.215122908353806,0.0
11,sym_0073,44,248.49768800777383,227.36884499317966,28701.2431640625,28721.0556640625,15.623630106449127,0.0
12,con_0284,51,271.04865899309516,239.52457099221647,28694.630859375,28726.97216796875,9.106504291296005,0.0
13,seq_0302,52,259.6223239961546,233.7428400060162,28711.79296875,28741.232421875,10.492719426751137,0.0625
14,seq_0272,51,260.9944730065763,240.16796200885437,28712.419921875,28740.15185546875,9.854820065200329,0.0
15,seq_0017,48,251.76607200410217,235.60382499999832,28705.40625,28730.3203125,9.675066202878952,0.125
16,seq_0042,47,256.7519670119509,233.93206400214694,28698.0927734375,28724.0810546875,9.408074773848057,0.0625
17,arith_0120,45,252.1604309877148,239.48731098789722,28692.67578125,28716.50048828125,13.622987732291222,0.0
18,logic_0136,69,262.164929008577,257.21955399785656,28729.46337890625,28782.5654296875,12.064833492040634,0.0625
19,logic_0001,69,277.4594720103778,251.1798800114775,28785.4765625,28824.40771484375,11.194169968366623,0.125
