method,layer,horizon,match_uplift_vs_full,match_low_to_full_no_patch,delta_over_low_to_full_no_patch
identity,0,1,0.0,0.0,0.0
identity,0,4,0.00625,0.01875,-0.012499999999999999
identity,0,8,0.009375,0.021875,-0.012499999999999999
identity,0,16,0.0125,0.0171875,-0.004687500000000001
identity,4,1,0.0,0.0,0.0
identity,4,4,0.00625,0.01875,-0.012499999999999999
identity,4,8,0.009375,0.021875,-0.012499999999999999
identity,4,16,0.0125,0.0171875,-0.004687500000000001
identity,8,1,0.0,0.0,0.0
identity,8,4,0.00625,0.01875,-0.012499999999999999
identity,8,8,0.009375,0.021875,-0.012499999999999999
identity,8,16,0.0125,0.0171875,-0.004687500000000001
identity,12,1,0.0,0.0,0.0
identity,12,4,0.00625,0.01875,-0.012499999999999999
identity,12,8,0.009375,0.021875,-0.012499999999999999
identity,12,16,0.0125,0.0171875,-0.004687500000000001
identity,16,1,0.0,0.0,0.0
identity,16,4,0.00625,0.01875,-0.012499999999999999
identity,16,8,0.009375,0.021875,-0.012499999999999999
identity,16,16,0.0125,0.0171875,-0.004687500000000001
identity,20,1,0.0,0.0,0.0
identity,20,4,0.00625,0.01875,-0.012499999999999999
identity,20,8,0.009375,0.021875,-0.012499999999999999
identity,20,16,0.0125,0.0171875,-0.004687500000000001
identity,24,1,0.0,0.0,0.0
identity,24,4,0.00625,0.01875,-0.012499999999999999
identity,24,8,0.009375,0.021875,-0.012499999999999999
identity,24,16,0.0125,0.0171875,-0.004687500000000001
identity,28,1,0.0,0.0,0.0
identity,28,4,0.00625,0.01875,-0.012499999999999999
identity,28,8,0.009375,0.021875,-0.012499999999999999
identity,28,16,0.0125,0.0171875,-0.004687500000000001
identity,32,1,0.0,0.0,0.0
identity,32,4,0.00625,0.01875,-0.012499999999999999
identity,32,8,0.009375,0.021875,-0.012499999999999999
identity,32,16,0.0125,0.0171875,-0.004687500000000001
identity,34,1,0.0,0.0,0.0
identity,34,4,0.00625,0.01875,-0.012499999999999999
identity,34,8,0.009375,0.021875,-0.012499999999999999
identity,34,16,0.0125,0.0171875,-0.004687500000000001
mlp,0,1,0.025,0.0,0.025
mlp,0,4,0.00625,0.01875,-0.012499999999999999
mlp,0,8,0.00625,0.021875,-0.015624999999999998
mlp,0,16,0.0078125,0.0171875,-0.009375000000000001
mlp,4,1,0.05,0.0,0.05
mlp,4,4,0.025,0.01875,0.006250000000000002
mlp,4,8,0.015625,0.021875,-0.006249999999999999
mlp,4,16,0.0203125,0.0171875,0.0031249999999999993
mlp,8,1,0.0,0.0,0.0
mlp,8,4,0.00625,0.01875,-0.012499999999999999
mlp,8,8,0.003125,0.021875,-0.01875
mlp,8,16,0.009375,0.0171875,-0.007812500000000002
mlp,12,1,0.025,0.0,0.025
mlp,12,4,0.025,0.01875,0.006250000000000002
mlp,12,8,0.0125,0.021875,-0.009374999999999998
mlp,12,16,0.0109375,0.0171875,-0.006250000000000002
mlp,16,1,0.0,0.0,0.0
mlp,16,4,0.0125,0.01875,-0.006249999999999999
mlp,16,8,0.021875,0.021875,0.0
mlp,16,16,0.0171875,0.0171875,0.0
mlp,20,1,0.0,0.0,0.0
mlp,20,4,0.00625,0.01875,-0.012499999999999999
mlp,20,8,0.00625,0.021875,-0.015624999999999998
mlp,20,16,0.0046875,0.0171875,-0.0125
mlp,24,1,0.05,0.0,0.05
mlp,24,4,0.025,0.01875,0.006250000000000002
mlp,24,8,0.015625,0.021875,-0.006249999999999999
mlp,24,16,0.0109375,0.0171875,-0.006250000000000002
mlp,28,1,0.025,0.0,0.025
mlp,28,4,0.00625,0.01875,-0.012499999999999999
mlp,28,8,0.00625,0.021875,-0.015624999999999998
mlp,28,16,0.0078125,0.0171875,-0.009375000000000001
mlp,32,1,0.0,0.0,0.0
mlp,32,4,0.00625,0.01875,-0.012499999999999999
mlp,32,8,0.00625,0.021875,-0.015624999999999998
mlp,32,16,0.009375,0.0171875,-0.007812500000000002
mlp,34,1,0.0,0.0,0.0
mlp,34,4,0.00625,0.01875,-0.012499999999999999
mlp,34,8,0.009375,0.021875,-0.012499999999999999
mlp,34,16,0.0109375,0.0171875,-0.006250000000000002
oracle_full_state,0,1,0.0,0.0,0.0
oracle_full_state,0,4,0.0,0.01875,-0.01875
oracle_full_state,0,8,0.00625,0.021875,-0.015624999999999998
oracle_full_state,0,16,0.0125,0.0171875,-0.004687500000000001
oracle_full_state,4,1,0.025,0.0,0.025
oracle_full_state,4,4,0.01875,0.01875,0.0
oracle_full_state,4,8,0.021875,0.021875,0.0
oracle_full_state,4,16,0.0203125,0.0171875,0.0031249999999999993
oracle_full_state,8,1,0.0,0.0,0.0
oracle_full_state,8,4,0.01875,0.01875,0.0
oracle_full_state,8,8,0.0125,0.021875,-0.009374999999999998
oracle_full_state,8,16,0.0140625,0.0171875,-0.003125000000000001
oracle_full_state,12,1,0.075,0.0,0.075
oracle_full_state,12,4,0.03125,0.01875,0.0125
oracle_full_state,12,8,0.015625,0.021875,-0.006249999999999999
oracle_full_state,12,16,0.0140625,0.0171875,-0.003125000000000001
oracle_full_state,16,1,0.0,0.0,0.0
oracle_full_state,16,4,0.0125,0.01875,-0.006249999999999999
oracle_full_state,16,8,0.021875,0.021875,0.0
oracle_full_state,16,16,0.0171875,0.0171875,0.0
oracle_full_state,20,1,0.0,0.0,0.0
oracle_full_state,20,4,0.00625,0.01875,-0.012499999999999999
oracle_full_state,20,8,0.0125,0.021875,-0.009374999999999998
oracle_full_state,20,16,0.0125,0.0171875,-0.004687500000000001
oracle_full_state,24,1,0.05,0.0,0.05
oracle_full_state,24,4,0.025,0.01875,0.006250000000000002
oracle_full_state,24,8,0.021875,0.021875,0.0
oracle_full_state,24,16,0.0171875,0.0171875,0.0
oracle_full_state,28,1,0.1,0.0,0.1
oracle_full_state,28,4,0.0375,0.01875,0.01875
oracle_full_state,28,8,0.021875,0.021875,0.0
oracle_full_state,28,16,0.0171875,0.0171875,0.0
oracle_full_state,32,1,0.0,0.0,0.0
oracle_full_state,32,4,0.00625,0.01875,-0.012499999999999999
oracle_full_state,32,8,0.00625,0.021875,-0.015624999999999998
oracle_full_state,32,16,0.0109375,0.0171875,-0.006250000000000002
oracle_full_state,34,1,0.25,0.0,0.25
oracle_full_state,34,4,0.06875,0.01875,0.05
oracle_full_state,34,8,0.0375,0.021875,0.015625
oracle_full_state,34,16,0.028125,0.0171875,0.0109375
oracle_group,34,1,0.25,0.0,0.25
oracle_group,34,4,0.06875,0.01875,0.05
oracle_group,34,8,0.0375,0.021875,0.015625
oracle_group,34,16,0.028125,0.0171875,0.0109375
oracle_group,"33,34",1,0.1,0.0,0.1
oracle_group,"33,34",4,0.03125,0.01875,0.0125
oracle_group,"33,34",8,0.01875,0.021875,-0.0031249999999999993
oracle_group,"33,34",16,0.0140625,0.0171875,-0.003125000000000001
oracle_group,"31,32,33,34",1,0.0,0.0,0.0
oracle_group,"31,32,33,34",4,0.00625,0.01875,-0.012499999999999999
oracle_group,"31,32,33,34",8,0.00625,0.021875,-0.015624999999999998
oracle_group,"31,32,33,34",16,0.00625,0.0171875,-0.010937500000000001
oracle_group,"0,4,8,12,16,20,24,28,32,34",1,0.2,0.0,0.2
oracle_group,"0,4,8,12,16,20,24,28,32,34",4,0.08125,0.01875,0.0625
oracle_group,"0,4,8,12,16,20,24,28,32,34",8,0.046875,0.021875,0.025
oracle_group,"0,4,8,12,16,20,24,28,32,34",16,0.03125,0.0171875,0.014062499999999999
